#{"t_start": 1748618611.923424, "env_id": null}
r,l,t
43.870238,50,17.516979
46.718574,50,17.552816
70.869207,50,17.584732
48.511405,50,17.615649
45.106566,50,17.646566
-1.916393,50,17.678481
29.799608,50,17.708401
2.271287,50,17.738338
22.61034,50,17.769275
51.547112,50,17.816203
60.943568,50,17.845125
31.728162,50,17.874135
33.292159,50,17.902163
19.562729,50,17.931109
31.208262,50,17.960125
58.858554,50,17.988156
57.913448,50,18.017212
50.561495,50,18.049058
49.782142,50,18.077979
56.239508,50,18.107437
35.199308,50,18.136376
24.037497,50,18.165289
54.067391,50,19.360331
2.858395,50,19.398246
18.613039,50,19.435151
40.104708,50,19.473056
51.923792,50,19.50896
16.81538,50,19.550848
35.978641,50,19.580768
35.985123,50,19.612685
28.317298,50,19.642606
31.681308,50,19.672524
46.022597,50,19.702445
34.807534,50,19.732365
34.64098,50,19.762285
62.852264,50,19.792207
25.492738,50,19.942829
46.417985,50,19.972749
64.269516,50,20.020622
38.317508,50,20.049549
53.290105,50,20.08046
52.330259,50,20.109385
59.880101,50,20.137642
26.497201,50,20.166565
51.209916,50,20.195486
58.695983,50,20.223933
34.201998,50,20.25277
41.023561,50,20.280686
42.0912,50,20.310848
48.49418,50,20.338797
61.763854,50,20.368088
30.130425,50,20.397009
58.505597,50,20.425932
52.02145,50,20.453882
26.195084,50,20.483809
42.096879,50,20.511767
18.921451,50,20.552914
63.448872,50,20.584839
61.267238,50,20.622762
21.699044,50,20.651553
23.37434,50,20.679963
56.487985,50,20.708896
37.996563,50,20.749177
66.116168,50,21.891658
22.079087,50,21.928559
58.593735,50,21.966458
55.641706,50,22.001364
65.005793,50,22.032281
51.395844,50,22.071177
39.56453,50,22.104471
23.284786,50,22.133394
47.631565,50,22.162318
36.495357,50,22.190245
64.004357,50,22.219169
39.577241,50,22.248091
50.2096,50,22.277014
64.116205,50,22.30594
26.570346,50,22.334858
25.500679,50,22.363781
35.984151,50,22.391707
29.21431,50,22.421625
48.716281,50,22.449553
66.431873,50,22.478475
66.372562,50,22.507398
32.725221,50,22.536319
54.984762,50,22.579206
65.868987,50,22.611119
24.560778,50,22.641041
58.482527,50,22.671958
58.742246,50,22.701876
54.128123,50,22.736785
50.687402,50,22.767703
10.016828,50,22.79862
58.225858,50,22.847489
46.09316,50,22.876412
30.502374,50,22.905333
61.862538,50,22.934256
21.551412,50,22.962181
26.896262,50,22.991105
46.495743,50,23.020027
54.43552,50,23.048465
57.958389,50,23.079381
21.920727,50,23.108316
44.019907,50,23.136257
39.259941,50,24.328888
39.547343,50,24.362807
42.335268,50,24.400409
57.119237,50,24.442297
65.401664,50,24.48219
53.967886,50,24.517098
49.549933,50,24.54702
37.695009,50,24.576538
55.469588,50,24.61642
54.197023,50,24.645342
76.326909,50,24.674266
31.624299,50,24.70219
73.630055,50,24.731113
74.278681,50,24.760035
57.177914,50,24.789969
43.362539,50,24.817916
56.740325,50,24.862453
59.038305,50,24.891377
35.34172,50,24.922307
51.292144,50,24.953057
21.111115,50,24.983609
59.949451,50,25.013699
53.847001,50,25.048751
53.153094,50,25.078807
59.652102,50,25.110129
31.011415,50,25.140139
44.093794,50,25.170153
64.545264,50,25.201196
32.165827,50,25.23217
60.763866,50,25.262266
68.324966,50,25.292187
49.776363,50,25.321107
60.144729,50,25.524266
64.442391,50,25.554187
66.416584,50,25.590098
69.956391,50,25.620018
63.435392,50,25.649938
59.613298,50,25.677872
8.557057,50,25.705797
45.573533,50,25.73472
39.473041,50,25.761647
70.044106,50,26.944413
65.799207,50,26.977659
33.431736,50,27.011793
58.953467,50,27.041716
47.669787,50,27.076736
54.577212,50,27.126603
78.809396,50,27.157634
32.612431,50,27.18757
72.322784,50,27.216807
68.490911,50,27.245737
60.363316,50,27.274973
45.477373,50,27.303913
65.473065,50,27.332853
64.157695,50,27.367768
46.041856,50,27.398686
71.484129,50,27.428606
66.922241,50,27.458071
65.798465,50,27.487895
28.049327,50,27.518026
32.911738,50,27.561808
26.744432,50,27.593072
47.753662,50,27.622055
56.037406,50,27.651276
70.84,50,27.680198
59.61643,50,27.709119
63.861354,50,27.738275
67.982568,50,27.767197
63.815089,50,27.796121
50.176697,50,27.82406
64.454536,50,27.868844
64.66671,50,27.899785
54.771494,50,27.928737
63.192871,50,27.958878
69.019925,50,27.988904
56.279537,50,28.018852
51.065084,50,28.047823
47.579863,50,28.077734
65.452969,50,28.126812
71.887603,50,28.155751
62.47238,50,28.184798
77.953162,50,28.214747
53.874676,50,29.482128
64.556047,50,29.517045
73.924094,50,29.554944
68.92176,50,29.586859
24.448575,50,29.626751
70.562648,50,29.662781
47.700245,50,29.691705
63.705213,50,29.720628
63.410565,50,29.749551
35.514864,50,29.77947
59.583055,50,29.808393
38.692136,50,29.837317
63.292233,50,29.867237
64.121482,50,29.897157
50.078271,50,29.926079
61.043889,50,29.955014
33.853221,50,29.983078
74.227964,50,30.012012
61.237879,50,30.04098
43.483892,50,30.069923
76.333006,50,30.102442
68.395616,50,30.139343
69.811825,50,30.169264
65.249275,50,30.201178
52.012879,50,30.232096
65.789796,50,30.264018
61.46116,50,30.29394
64.470821,50,30.323651
64.494901,50,30.36155
59.592876,50,30.394717
65.500237,50,30.424637
68.052226,50,30.454558
54.066959,50,30.484477
77.421933,50,30.516392
63.743578,50,30.548308
66.914554,50,30.595181
72.79983,50,30.624104
59.914112,50,30.65304
67.667445,50,30.681836
41.736862,50,30.710785
46.977935,50,30.739742
67.132191,50,31.948073
67.800472,50,31.98421
72.372664,50,32.024116
45.503082,50,32.067131
73.663501,50,32.099072
31.49761,50,32.136009
28.807512,50,32.16545
69.652066,50,32.197389
71.746931,50,32.227328
52.081751,50,32.3751
47.288701,50,32.405073
70.926234,50,32.436031
66.120856,50,32.465117
64.908316,50,32.496102
32.293922,50,32.525118
54.565827,50,32.554115
36.157613,50,32.58313
35.025933,50,32.614139
71.488059,50,32.643153
68.555112,50,32.672167
69.655168,50,32.702264
70.142982,50,32.731207
38.363765,50,32.761144
58.634342,50,32.790169
58.206694,50,32.820182
34.996112,50,32.850159
54.639174,50,32.902146
62.199137,50,32.932065
63.669852,50,32.960989
35.732596,50,32.990325
67.048229,50,33.019248
58.685289,50,33.047173
54.1371,50,33.075099
39.15793,50,33.104035
55.21102,50,33.132612
58.430974,50,33.160537
59.594398,50,33.190457
35.633079,50,33.218383
81.629215,50,33.247305
77.821078,50,33.27523
77.438858,50,33.303155
